rr_s,hr_bpm
0.69,86.95652173913044
0.7950000000000002,75.47169811320754
0.7349999999999999,81.6326530612245
0.6400000000000001,93.74999999999999
0.98,61.224489795918366
0.5700000000000003,105.26315789473679
0.7599999999999998,78.94736842105266
0.7599999999999998,78.94736842105266
0.6850000000000005,87.59124087591235
0.7399999999999993,81.08108108108115
0.5550000000000006,108.10810810810798
0.6099999999999994,98.36065573770502
0.6050000000000004,99.1735537190082
1.33,45.11278195488722
0.5700000000000003,105.26315789473679
0.7949999999999999,75.47169811320755
0.7599999999999998,78.94736842105266
